init_angle,init_speed,X,Y,time
45,100,0,0,0
,,0.707106781,0.706126781,0.01
,,1.414213562,1.411273562,0.02
,,2.121320344,2.115440344,0.03
,,2.828427125,2.818627125,0.04
,,3.535533906,3.520833906,0.05
,,4.242640687,4.222060687,0.06
,,4.949747468,4.922307468,0.07
,,5.656854249,5.621574249,0.08
,,6.363961031,6.319861031,0.09
,,7.071067812,7.017167812,0.1
,,7.778174593,7.713494593,0.11
,,8.485281374,8.408841374,0.12
,,9.192388155,9.103208155,0.13
,,9.899494937,9.796594937,0.14
,,10.60660172,10.48900172,0.15
,,11.3137085,11.1804285,0.16
,,12.02081528,11.87087528,0.17
,,12.72792206,12.56034206,0.18
,,13.43502884,13.24882884,0.19
,,14.14213562,13.93633562,0.2
,,14.8492424,14.6228624,0.21
,,15.55634919,15.30840919,0.22
,,16.26345597,15.99297597,0.23
,,16.97056275,16.67656275,0.24
,,17.67766953,17.35916953,0.25
,,18.38477631,18.04079631,0.26
,,19.09188309,18.72144309,0.27
,,19.79898987,19.40110987,0.28
,,20.50609665,20.07979665,0.29
,,21.21320344,20.75750344,0.3
,,21.92031022,21.43423022,0.31
,,22.627417,22.109977,0.32
,,23.33452378,22.78474378,0.33
,,24.04163056,23.45853056,0.34
,,24.74873734,24.13133734,0.35
,,25.45584412,24.80316412,0.36
,,26.1629509,25.4740109,0.37
,,26.87005769,26.14387769,0.38
,,27.57716447,26.81276447,0.39
,,28.28427125,27.48067125,0.4
,,28.99137803,28.14759803,0.41
,,29.69848481,28.81354481,0.42
,,30.40559159,29.47851159,0.43
,,31.11269837,30.14249837,0.44
,,31.81980515,30.80550515,0.45
,,32.52691193,31.46753193,0.46
,,33.23401872,32.12857872,0.47
,,33.9411255,32.7886455,0.48
,,34.64823228,33.44773228,0.49
,,35.35533906,34.10583906,0.5
,,36.06244584,34.76296584,0.51
,,36.76955262,35.41911262,0.52
,,37.4766594,36.0742794,0.53
,,38.18376618,36.72846618,0.54
,,38.89087297,37.38167297,0.55
,,39.59797975,38.03389975,0.56
,,40.30508653,38.68514653,0.57
,,41.01219331,39.33541331,0.58
,,41.71930009,39.98470009,0.59
,,42.42640687,40.63300687,0.6
,,43.13351365,41.28033365,0.61
,,43.84062043,41.92668043,0.62
,,44.54772721,42.57204721,0.63
,,45.254834,43.216434,0.64
,,45.96194078,43.85984078,0.65
,,46.66904756,44.50226756,0.66
,,47.37615434,45.14371434,0.67
,,48.08326112,45.78418112,0.68
,,48.7903679,46.4236679,0.69
,,49.49747468,47.06217468,0.7
,,50.20458146,47.69970146,0.71
,,50.91168825,48.33624825,0.72
,,51.61879503,48.97181503,0.73
,,52.32590181,49.60640181,0.74
,,53.03300859,50.24000859,0.75
,,53.74011537,50.87263537,0.76
,,54.44722215,51.50428215,0.77
,,55.15432893,52.13494893,0.78
,,55.86143571,52.76463571,0.79
,,56.56854249,53.39334249,0.8
,,57.27564928,54.02106928,0.81
,,57.98275606,54.64781606,0.82
,,58.68986284,55.27358284,0.83
,,59.39696962,55.89836962,0.84
,,60.1040764,56.5221764,0.85
,,60.81118318,57.14500318,0.86
,,61.51828996,57.76684996,0.87
,,62.22539674,58.38771674,0.88
,,62.93250353,59.00760353,0.89
,,63.63961031,59.62651031,0.9
,,64.34671709,60.24443709,0.91
,,65.05382387,60.86138387,0.92
,,65.76093065,61.47735065,0.93
,,66.46803743,62.09233743,0.94
,,67.17514421,62.70634421,0.95
,,67.88225099,63.31937099,0.96
,,68.58935778,63.93141778,0.97
,,69.29646456,64.54248456,0.98
,,70.00357134,65.15257134,0.99
,,70.71067812,65.76167812,1
,,71.4177849,66.3698049,1.01
,,72.12489168,66.97695168,1.02
,,72.83199846,67.58311846,1.03
,,73.53910524,68.18830524,1.04
,,74.24621202,68.79251202,1.05
,,74.95331881,69.39573881,1.06
,,75.66042559,69.99798559,1.07
,,76.36753237,70.59925237,1.08
,,77.07463915,71.19953915,1.09
,,77.78174593,71.79884593,1.1
,,78.48885271,72.39717271,1.11
,,79.19595949,72.99451949,1.12
,,79.90306627,73.59088627,1.13
,,80.61017306,74.18627306,1.14
,,81.31727984,74.78067984,1.15
,,82.02438662,75.37410662,1.16
,,82.7314934,75.9665534,1.17
,,83.43860018,76.55802018,1.18
,,84.14570696,77.14850696,1.19
,,84.85281374,77.73801374,1.2
,,85.55992052,78.32654052,1.21
,,86.2670273,78.9140873,1.22
,,86.97413409,79.50065409,1.23
,,87.68124087,80.08624087,1.24
,,88.38834765,80.67084765,1.25
,,89.09545443,81.25447443,1.26
,,89.80256121,81.83712121,1.27
,,90.50966799,82.41878799,1.28
,,91.21677477,82.99947477,1.29
,,91.92388155,83.57918155,1.3
,,92.63098834,84.15790834,1.31
,,93.33809512,84.73565512,1.32
,,94.0452019,85.3124219,1.33
,,94.75230868,85.88820868,1.34
,,95.45941546,86.46301546,1.35
,,96.16652224,87.03684224,1.36
,,96.87362902,87.60968902,1.37
,,97.5807358,88.1815558,1.38
